Nom,Prix,Catégorie,Visible,Ingrédients
Poulet,"12,00",PIZZA,OUI,"Sauce tomate, poulet curry, maïs, poivrons, curry, champignons, fromage, crème"
Reine,"10,00",PIZZA,OUI,"Sauce tomate, jambon, champignons, fromage"
Quatre saisons,"10,00",PIZZA,OUI,"Sauce tomate, jambon, champignons, poivrons, artichaut, maïs, fromage"
Roquette,"12,00",PIZZA DE SAISON,OUI,"Sauce tomate, jambon, champignons, jambon fumée, roquette, fromage ,copeaux de parmesan ,billes balsamiques "
Salami,"10,00",PIZZA,OUI,"Sauce tomate, jambon, salami, champignons, fromage "
Piquante ,"13,00",PIZZA,OUI,"Sauce tomate, chorizo, jambon, piments du jardin *, champignons, fromage"
Chorizo ,"12,00",PIZZA DE SAISON,OUI,"Sauce tomate, chorizo, champignons,poivrons,fromage"
Automne,"13,00",PIZZA,NON,"Sauce tomate, jambon , champignons, fromage, roquette, magret de canard fumée, confitures figues ou billes balsamiques "
Végétarienne ,"12,00",PIZZA,OUI,"Sauce tomate, aubergines et poivrons  grillées à l huile d'olive de Sicile avec ail et brisures artichauts, fromage"
Burrata ,"15,00",PIZZA DE SAISON,OUI,"Sauce tomate,jambon, champignons, fromage après cuisson burrata, roquette,  billes balsamique"
Flamm,"10,00",FLAMM,OUI,"Crème, lardons, oignons "
Flamm gratinée,"10,00",FLAMM,OUI,"Crème, lardons, oignons, fromage"
Flamm forestière,"10,00",FLAMM,OUI,"Crème, lardons, oignons,champignons,fromage"
Flamm munster ,"12,00",FLAMM,OUI,"Crème, lardons, oignons,champignons,fromage,munster "
Flamm chef ,"12,00",FLAMM,OUI,"Crème, lardons, oignons,champignons, ail, persil, fromage,munster"
Flamm chèvre,"13,00",FLAMM,NON,"Crème, lardons, oignons,champignons,chèvre, fromage, germes de poireaux"
